Info 0    [21:18:23.809] Starting TS Server
Info 1    [21:18:23.810] Version: 4.7.4
Info 2    [21:18:23.810] Arguments: /home/siyer/.nvm/versions/node/v17.8.0/bin/node /home/siyer/docs/projects/ongoing/martinalexandra.com/potato/node_modules/typescript/lib/tsserver.js --logFile /home/siyer/docs/projects/ongoing/martinalexandra.com/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/dbf09222e6f967b06f9404facd217d24/tscancellation*
Info 3    [21:18:23.810] Platform: linux NodeVersion: 17 CaseSensitive: true
Info 4    [21:18:23.810] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [21:18:23.829] Format host information updated
Info 6    [21:18:23.880] Search path: /home/siyer/docs/projects/ongoing/martinalexandra.com/potato/pages
Info 7    [21:18:23.881] For info: /home/siyer/docs/projects/ongoing/martinalexandra.com/potato/pages/index.js :: No config files found.
Info 8    [21:18:23.888] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [21:18:25.551] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1662.7687180000357ms
Info 10   [21:18:25.552] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [21:18:25.552] 	Files (29)

Info 12   [21:18:25.552] -----------------------------------------------
Info 13   [21:18:25.564] AutoImportProviderProject: found 1 root files in 1 dependencies in 9.413550999946892 ms
Info 14   [21:18:25.566] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 15   [21:18:25.600] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 34.0747440000996ms
Info 16   [21:18:25.600] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 17   [21:18:25.600] 	Files (6)

Info 18   [21:18:25.600] -----------------------------------------------
Info 19   [21:20:45.055] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [21:20:45.077] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 21.325745000038296ms
Info 21   [21:20:45.077] Different program with same set of files
Info 22   [21:20:45.511] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [21:20:45.537] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 25.284895999822766ms
Info 24   [21:20:45.537] Different program with same set of files
Info 25   [21:20:46.713] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 26   [21:20:46.727] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 13.815599999856204ms
Info 27   [21:20:46.728] Different program with same set of files
Info 28   [21:20:47.007] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [21:20:47.022] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 14.774792999960482ms
Info 30   [21:20:47.022] Different program with same set of files
Info 31   [21:20:47.278] getCompletionData: Get current token: 0.0404750001616776
Info 32   [21:20:47.278] getCompletionData: Is inside comment: 0.010414000134915113
Info 33   [21:20:47.279] getCompletionData: Get previous token: 0.2543779998086393
Info 34   [21:20:47.279] getCompletionsAtPosition: isCompletionListBlocker: 0.4617770002223551
Info 35   [21:20:47.279] Returning an empty list because completion was requested in an invalid position.
